"Coefficient","mean","sd","median","95% CI","species"
"beta.mixed_forest",3.4,10,3.1,"-16 - 23","Wilson's Warbler"
"beta.mixed_forest_sq",-11,9,-11,"-29 - 5","Wilson's Warbler"
"beta.number_observers",0.2,0.12,0.21,"-0.044 - 0.41","Wilson's Warbler"
"beta.ocean",-0.44,7,-0.24,"-14 - 13","Wilson's Warbler"
"beta.ocean_sq",-4.4,5.2,-4.1,"-16 - 5.1","Wilson's Warbler"
"beta.pasture_hay",3.6,9.2,4,"-14 - 20","Wilson's Warbler"
"beta.pasture_hay_sq",-6.1,5.6,-6,"-17 - 4.6","Wilson's Warbler"
"beta.precipitation",-18,7.8,-18,"-33 - -2.7","Wilson's Warbler"
"beta.precipitation_sq",-6.8,6.9,-6.8,"-20 - 6.8","Wilson's Warbler"
"beta.rivers",-0.085,6.8,0.067,"-14 - 13","Wilson's Warbler"
"beta.rivers_sq",1.7,6.7,1.8,"-11 - 14","Wilson's Warbler"
"beta.shrub_scrub",-8.9,8,-9,"-25 - 6.9","Wilson's Warbler"
"beta.shrub_scrub_sq",6.6,6.7,6.7,"-7.1 - 19","Wilson's Warbler"
"beta.slope",20,6.9,20,"6.6 - 34","Wilson's Warbler"
"beta.slope_sq",-19,7.5,-20,"-34 - -4.6","Wilson's Warbler"
"beta.time_of_day",-0.1,0.1,-0.11,"-0.31 - 0.1","Wilson's Warbler"
"beta.woody_wetland",-12,8.6,-12,"-30 - 3.8","Wilson's Warbler"
"beta.woody_wetland_sq",7.2,7.7,7.4,"-8.5 - 21","Wilson's Warbler"
"beta.0",-4,0.15,-4,"-4.3 - -3.8","Winter Wren"
"beta.aspect",-4,8,-4.5,"-19 - 13","Winter Wren"
"beta.aspect_sq",-0.81,6.7,-1.1,"-13 - 13","Winter Wren"
"beta.barren_land",-19,6.8,-19,"-33 - -6.3","Winter Wren"
"beta.barren_land_sq",7.4,6.3,7.8,"-6.3 - 18","Winter Wren"
"beta.cultivated_crop",-7.2,8.1,-7,"-24 - 8.2","Winter Wren"
"beta.cultivated_crop_sq",4.1,7.7,4.2,"-11 - 19","Winter Wren"
"beta.deciduous_forest",2.1,7.8,2.3,"-13 - 17","Winter Wren"
"beta.deciduous_forest_sq",1.3,6.3,1.6,"-12 - 13","Winter Wren"
"beta.developed_high_intensity",-11,8.5,-11,"-28 - 5","Winter Wren"
"beta.developed_high_intensity_sq",7.8,7.8,8.1,"-8.3 - 22","Winter Wren"
"beta.developed_low_intensity",-16,8.6,-16,"-33 - 0.59","Winter Wren"
"beta.developed_low_intensity_sq",12,7.6,12,"-4 - 26","Winter Wren"
"beta.effort_hours",0.15,0.073,0.15,"0.0073 - 0.29","Winter Wren"
"beta.elevation",1.8,8.4,1.6,"-14 - 19","Winter Wren"
"beta.elevation_sq",-1.5,7.5,-1.1,"-17 - 12","Winter Wren"
"beta.emergent_wetland",-8.8,7.4,-8.6,"-24 - 5","Winter Wren"
"beta.emergent_wetland_sq",-0.79,6.8,-0.48,"-15 - 11","Winter Wren"
"beta.evergreen_forest",26,6.9,26,"14 - 41","Winter Wren"
"beta.evergreen_forest_sq",-12,4,-12,"-20 - -3.7","Winter Wren"
"beta.grassland_herbaceous",-3.7,7.3,-3.8,"-18 - 11","Winter Wren"
"beta.grassland_herbaceous_sq",0.13,5.8,0.53,"-12 - 10","Winter Wren"
"beta.lakes",-3.7,7.1,-3.6,"-18 - 10","Winter Wren"
"beta.lakes_sq",1.6,6.1,1.7,"-11 - 14","Winter Wren"
"beta.max_temperature",-43,7.3,-43,"-57 - -28","Winter Wren"
"beta.max_temperature_sq",2.2,5.6,2.2,"-9 - 13","Winter Wren"
"beta.mixed_forest",8.7,7.1,8.9,"-5.7 - 22","Winter Wren"
"beta.mixed_forest_sq",-2.7,5,-2.7,"-13 - 7.1","Winter Wren"
"beta.number_observers",-0.37,0.17,-0.35,"-0.73 - -0.066","Winter Wren"
"beta.ocean",2.4,7.4,2.5,"-13 - 17","Winter Wren"
"beta.ocean_sq",-5.9,8.1,-5.3,"-22 - 7.8","Winter Wren"
"beta.pasture_hay",-18,7.9,-18,"-34 - -2.6","Winter Wren"
"beta.pasture_hay_sq",5.4,7.4,5.7,"-9.5 - 19","Winter Wren"
"beta.precipitation",6.1,6.8,6.1,"-7.2 - 19","Winter Wren"
"beta.precipitation_sq",-4.3,6,-4.2,"-16 - 7.1","Winter Wren"
"beta.rivers",-8.3,7.4,-8.1,"-23 - 5.6","Winter Wren"
"beta.rivers_sq",-0.5,6.8,-0.013,"-15 - 12","Winter Wren"
"beta.shrub_scrub",14,6.9,14,"-1.6 - 26","Winter Wren"
"beta.shrub_scrub_sq",-0.5,4.2,-0.4,"-9.1 - 7.5","Winter Wren"
"beta.slope",4.8,7.6,5.2,"-11 - 18","Winter Wren"
"beta.slope_sq",4.1,7.1,4.4,"-11 - 17","Winter Wren"
"beta.time_of_day",-0.31,0.075,-0.31,"-0.46 - -0.17","Winter Wren"
"beta.woody_wetland",12,6.1,12,"-1.2 - 23","Winter Wren"
"beta.woody_wetland_sq",-3,5.3,-3.1,"-13 - 7.5","Winter Wren"
"beta.0",-3.9,0.068,-3.9,"-4.1 - -3.8","Wood Duck"
"beta.aspect",2.6,10,3.2,"-18 - 21","Wood Duck"
"beta.aspect_sq",-14,11,-16,"-30 - 12","Wood Duck"
"beta.barren_land",-7.5,7.6,-7.2,"-23 - 6.6","Wood Duck"
"beta.barren_land_sq",-0.76,7.4,-0.44,"-16 - 13","Wood Duck"
"beta.cultivated_crop",15,6.4,15,"2.6 - 28","Wood Duck"
"beta.cultivated_crop_sq",0.69,7.9,1.9,"-17 - 13","Wood Duck"
"beta.deciduous_forest",11,7.4,11,"-4.2 - 25","Wood Duck"
"beta.deciduous_forest_sq",6.6,6.2,6.7,"-6.2 - 19","Wood Duck"
"beta.developed_high_intensity",-6.4,7.9,-6.5,"-22 - 8.9","Wood Duck"
"beta.developed_high_intensity_sq",-4.1,8.1,-4,"-20 - 11","Wood Duck"
"beta.developed_low_intensity",1.2,11,2.8,"-21 - 19","Wood Duck"
"beta.developed_low_intensity_sq",-3.2,6.3,-3.1,"-16 - 8.8","Wood Duck"
"beta.effort_hours",0.26,0.041,0.26,"0.18 - 0.34","Wood Duck"
"beta.elevation",-20,8.2,-20,"-36 - -4.1","Wood Duck"
"beta.elevation_sq",0.44,8.1,0.46,"-16 - 16","Wood Duck"
"beta.emergent_wetland",35,3.5,35,"28 - 41","Wood Duck"
"beta.emergent_wetland_sq",-14,3.4,-14,"-20 - -6.9","Wood Duck"
"beta.evergreen_forest",-3,7.7,-3,"-18 - 12","Wood Duck"
"beta.evergreen_forest_sq",5.4,6.9,5.7,"-8.8 - 18","Wood Duck"
"beta.grassland_herbaceous",-7.4,7.4,-7.4,"-22 - 7.6","Wood Duck"
"beta.grassland_herbaceous_sq",1.7,6.7,1.8,"-12 - 14","Wood Duck"
"beta.lakes",18,5.8,19,"0.028 - 26","Wood Duck"
"beta.lakes_sq",1.5,6,2.1,"-17 - 11","Wood Duck"
"beta.max_temperature",-1.4,7.2,-1.4,"-16 - 13","Wood Duck"
"beta.max_temperature_sq",-9,7.3,-9,"-23 - 5","Wood Duck"
"beta.mixed_forest",-13,7.2,-13,"-27 - 1.1","Wood Duck"
"beta.mixed_forest_sq",0.031,6.7,-0.012,"-13 - 14","Wood Duck"
"beta.number_observers",0.11,0.047,0.11,"0.0083 - 0.19","Wood Duck"
"beta.ocean",-14,7.3,-14,"-29 - 0.18","Wood Duck"
"beta.ocean_sq",3.4,7.1,3.6,"-11 - 17","Wood Duck"
"beta.pasture_hay",13,6.2,13,"0.49 - 25","Wood Duck"
"beta.pasture_hay_sq",-8.5,6,-8.3,"-20 - 3.3","Wood Duck"
"beta.precipitation",1.5,7,1.4,"-12 - 15","Wood Duck"
"beta.precipitation_sq",0.97,6.3,0.97,"-12 - 13","Wood Duck"
"beta.rivers",4.6,6.3,5.1,"-8.8 - 15","Wood Duck"
"beta.rivers_sq",-1.3,6.4,-0.72,"-16 - 9.2","Wood Duck"
"beta.shrub_scrub",-9.8,7.7,-9.8,"-25 - 4.9","Wood Duck"
"beta.shrub_scrub_sq",2.5,7.7,2.6,"-13 - 17","Wood Duck"
"beta.slope",-5.6,9.8,-6,"-24 - 14","Wood Duck"
"beta.slope_sq",-7.2,6.9,-7.1,"-21 - 5.9","Wood Duck"
"beta.time_of_day",-0.11,0.053,-0.11,"-0.21 - -0.0034","Wood Duck"
"beta.woody_wetland",29,4.1,30,"21 - 37","Wood Duck"
"beta.woody_wetland_sq",-2.6,3.9,-2.7,"-10 - 4.9","Wood Duck"
"beta.0",-4.7,0.29,-4.6,"-5.3 - -4.1","Wood Stork"
"beta.aspect",-3.5,7.5,-3.4,"-18 - 11","Wood Stork"
"beta.aspect_sq",-7.1,6.5,-7.2,"-20 - 5.9","Wood Stork"
"beta.barren_land",-6.2,7.7,-5.9,"-22 - 7.8","Wood Stork"
"beta.barren_land_sq",0.076,6.8,0.37,"-14 - 13","Wood Stork"
"beta.cultivated_crop",-1.2,7,-1,"-15 - 12","Wood Stork"
"beta.cultivated_crop_sq",4,6.3,4.3,"-9.5 - 15","Wood Stork"
"beta.deciduous_forest",-2.9,8.7,-2.9,"-20 - 14","Wood Stork"
"beta.deciduous_forest_sq",-3.4,8,-3,"-20 - 11","Wood Stork"
"beta.developed_high_intensity",-8,8.1,-8,"-24 - 7.4","Wood Stork"
"beta.developed_high_intensity_sq",-2.3,7.1,-2,"-17 - 11","Wood Stork"
"beta.developed_low_intensity",-4.9,7.3,-5,"-19 - 9.4","Wood Stork"
"beta.developed_low_intensity_sq",6.2,7.2,6.1,"-7.9 - 21","Wood Stork"
"beta.effort_hours",0.49,0.12,0.49,"0.24 - 0.72","Wood Stork"
"beta.elevation",-8.6,8.7,-8.6,"-26 - 8.3","Wood Stork"
"beta.elevation_sq",1.5,7.9,1.7,"-14 - 16","Wood Stork"
"beta.emergent_wetland",11,5.2,11,"-0.96 - 20","Wood Stork"
"beta.emergent_wetland_sq",-8.1,5.3,-7.4,"-21 - 0.76","Wood Stork"
"beta.evergreen_forest",-6.6,7.6,-6.6,"-22 - 8.3","Wood Stork"
"beta.evergreen_forest_sq",-3.4,7.5,-3.2,"-19 - 11","Wood Stork"
"beta.grassland_herbaceous",-9.2,8,-8.9,"-25 - 6.1","Wood Stork"
"beta.grassland_herbaceous_sq",2.4,7.6,2.8,"-13 - 16","Wood Stork"
"beta.lakes",-2.5,5.7,-2.3,"-14 - 8.3","Wood Stork"
"beta.lakes_sq",7.4,7.6,8.9,"-11 - 19","Wood Stork"
"beta.max_temperature",1.4,7.8,1.2,"-14 - 17","Wood Stork"
"beta.max_temperature_sq",-5.9,8.3,-5.7,"-23 - 9.9","Wood Stork"
"beta.mixed_forest",-3.5,8.8,-3.5,"-21 - 13","Wood Stork"
"beta.mixed_forest_sq",-4.6,7.7,-4.4,"-20 - 9.8","Wood Stork"
"beta.number_observers",0.1,0.2,0.12,"-0.34 - 0.44","Wood Stork"
"beta.ocean",4.8,5.9,4.9,"-7.1 - 16","Wood Stork"
"beta.ocean_sq",-5.1,6.5,-5,"-18 - 7.1","Wood Stork"
"beta.pasture_hay",1.4,6.9,1.5,"-12 - 15","Wood Stork"
"beta.pasture_hay_sq",2.4,6.1,2.6,"-10 - 14","Wood Stork"
"beta.precipitation",12,7.8,12,"-3.4 - 27","Wood Stork"
"beta.precipitation_sq",-3.1,6.8,-3,"-17 - 10","Wood Stork"
"beta.rivers",-6.4,6.4,-6.2,"-20 - 5.5","Wood Stork"
"beta.rivers_sq",1.6,5.9,1.9,"-11 - 12","Wood Stork"
"beta.shrub_scrub",-4.5,8.3,-4.2,"-22 - 11","Wood Stork"
"beta.shrub_scrub_sq",0.5,7.5,0.79,"-15 - 15","Wood Stork"
"beta.slope",-0.94,8.1,-0.95,"-17 - 15","Wood Stork"
"beta.slope_sq",-11,7,-11,"-25 - 2.7","Wood Stork"
"beta.time_of_day",-0.24,0.18,-0.24,"-0.58 - 0.11","Wood Stork"
"beta.woody_wetland",3.6,7,3.5,"-10 - 18","Wood Stork"
"beta.woody_wetland_sq",-0.27,6.2,0.42,"-14 - 10","Wood Stork"
"beta.0",-3,0.056,-3,"-3.1 - -2.9","Wood Thrush"
"beta.aspect",7.3,7.9,7.5,"-8.6 - 22","Wood Thrush"
"beta.aspect_sq",2.6,5.8,2.6,"-8.9 - 14","Wood Thrush"
"beta.barren_land",-5.9,5,-5.8,"-16 - 3.7","Wood Thrush"
"beta.barren_land_sq",-2.3,5.5,-1.7,"-14 - 7.1","Wood Thrush"
"beta.cultivated_crop",-8.8,6.5,-8.7,"-22 - 3.5","Wood Thrush"
"beta.cultivated_crop_sq",-13,5.5,-13,"-23 - -1.9","Wood Thrush"
"beta.deciduous_forest",55,5.2,55,"45 - 65","Wood Thrush"
"beta.deciduous_forest_sq",-4.4,3.6,-4.4,"-11 - 2.8","Wood Thrush"
"beta.developed_high_intensity",-23,7.1,-23,"-37 - -8.7","Wood Thrush"
"beta.developed_high_intensity_sq",11,7.7,12,"-6.9 - 23","Wood Thrush"
"beta.developed_low_intensity",-21,5.5,-21,"-33 - -11","Wood Thrush"
"beta.developed_low_intensity_sq",8.1,4.9,8.1,"-1.5 - 18","Wood Thrush"
"beta.effort_hours",0.25,0.034,0.25,"0.19 - 0.32","Wood Thrush"
"beta.elevation",-11,6.3,-11,"-24 - 0.94","Wood Thrush"
"beta.elevation_sq",15,4.8,15,"5.2 - 24","Wood Thrush"
"beta.emergent_wetland",-15,6,-15,"-28 - -4.2","Wood Thrush"
"beta.emergent_wetland_sq",-1.1,8.7,-0.53,"-18 - 14","Wood Thrush"
"beta.evergreen_forest",-3,8.4,-2.9,"-19 - 12","Wood Thrush"
"beta.evergreen_forest_sq",4.6,9.9,7.6,"-17 - 18","Wood Thrush"
"beta.grassland_herbaceous",-5.3,5.9,-5.4,"-17 - 6.1","Wood Thrush"
"beta.grassland_herbaceous_sq",1.2,6.1,1.6,"-12 - 12","Wood Thrush"
"beta.lakes",-6.8,7.4,-6.7,"-21 - 7.7","Wood Thrush"
"beta.lakes_sq",3.2,6,3.3,"-9 - 14","Wood Thrush"
"beta.max_temperature",21,6.1,21,"9.3 - 33","Wood Thrush"
"beta.max_temperature_sq",-36,6.1,-36,"-47 - -24","Wood Thrush"
"beta.mixed_forest",14,6.5,14,"1.4 - 26","Wood Thrush"
"beta.mixed_forest_sq",-4.5,5.7,-4.4,"-15 - 5.8","Wood Thrush"
"beta.number_observers",0.046,0.048,0.047,"-0.053 - 0.14","Wood Thrush"
"beta.ocean",-4.8,7.7,-4.7,"-20 - 9.9","Wood Thrush"
"beta.ocean_sq",-3.8,6.6,-3.5,"-18 - 8.4","Wood Thrush"
"beta.pasture_hay",4.1,6.4,4.4,"-11 - 16","Wood Thrush"
"beta.pasture_hay_sq",-13,6.4,-13,"-24 - 4.5","Wood Thrush"
"beta.precipitation",-0.066,5.2,-0.052,"-10 - 10","Wood Thrush"
"beta.precipitation_sq",-9.7,5.2,-9.6,"-20 - 0.34","Wood Thrush"
"beta.rivers",0.4,4.2,0.44,"-8 - 8.5","Wood Thrush"
"beta.rivers_sq",-1.5,5.8,-1.6,"-13 - 10","Wood Thrush"
"beta.shrub_scrub",14,6,14,"1.8 - 25","Wood Thrush"
"beta.shrub_scrub_sq",-7,5.3,-6.9,"-18 - 3","Wood Thrush"
"beta.slope",2.2,7,2.7,"-12 - 15","Wood Thrush"
"beta.slope_sq",-0.64,7.6,-0.83,"-14 - 13","Wood Thrush"
"beta.time_of_day",-0.18,0.041,-0.18,"-0.26 - -0.096","Wood Thrush"
"beta.woody_wetland",13,5.4,13,"2 - 23","Wood Thrush"
"beta.woody_wetland_sq",-5.4,5.1,-5.3,"-16 - 4.1","Wood Thrush"
"beta.0",-4.9,0.2,-4.9,"-5.3 - -4.5","Worm-eating Warbler"
"beta.aspect",6.3,9.5,6.3,"-12 - 25","Worm-eating Warbler"
"beta.aspect_sq",1.2,8.1,1.4,"-15 - 17","Worm-eating Warbler"
"beta.barren_land",-13,8.6,-13,"-30 - 3.5","Worm-eating Warbler"
"beta.barren_land_sq",5.9,7.1,6.4,"-9.4 - 18","Worm-eating Warbler"
"beta.cultivated_crop",-11,8.5,-11,"-28 - 5","Worm-eating Warbler"
"beta.cultivated_crop_sq",3.7,8.6,3.7,"-13 - 21","Worm-eating Warbler"
"beta.deciduous_forest",23,8.1,23,"6 - 38","Worm-eating Warbler"
"beta.deciduous_forest_sq",6.4,6.7,6.6,"-7.4 - 19","Worm-eating Warbler"
"beta.developed_high_intensity",-5.3,8.2,-5.2,"-22 - 11","Worm-eating Warbler"
"beta.developed_high_intensity_sq",8.8,7.7,9.3,"-7.9 - 22","Worm-eating Warbler"
"beta.developed_low_intensity",-15,8.5,-15,"-32 - 1.6","Worm-eating Warbler"
"beta.developed_low_intensity_sq",9.8,8.1,10,"-7 - 25","Worm-eating Warbler"
"beta.effort_hours",0.18,0.12,0.18,"-0.063 - 0.39","Worm-eating Warbler"
"beta.elevation",2,8.1,2,"-14 - 18","Worm-eating Warbler"
"beta.elevation_sq",-4.7,7.2,-4.6,"-19 - 9.2","Worm-eating Warbler"
"beta.emergent_wetland",-1.8,8.4,-1.5,"-19 - 14","Worm-eating Warbler"
"beta.emergent_wetland_sq",-0.11,7.4,0.24,"-16 - 14","Worm-eating Warbler"
"beta.evergreen_forest",10,8.1,10,"-6 - 26","Worm-eating Warbler"
"beta.evergreen_forest_sq",-5.5,7.5,-5.3,"-21 - 8.8","Worm-eating Warbler"
"beta.grassland_herbaceous",-7.1,7.7,-7,"-22 - 7.9","Worm-eating Warbler"
"beta.grassland_herbaceous_sq",1.5,9.4,2.5,"-18 - 17","Worm-eating Warbler"
"beta.lakes",-7.3,8.2,-7.1,"-24 - 7.9","Worm-eating Warbler"
"beta.lakes_sq",0.55,7.9,0.83,"-16 - 15","Worm-eating Warbler"
"beta.max_temperature",4.8,7.7,4.8,"-10 - 20","Worm-eating Warbler"
"beta.max_temperature_sq",-7.1,7,-7.1,"-21 - 6.5","Worm-eating Warbler"
"beta.mixed_forest",14,7.1,14,"0.18 - 28","Worm-eating Warbler"
